YEAR,ENERGY_SOURCE,GENERATION_MWh
2017,Solar Thermal and Photovoltaic,481
2017,Other Biomass,"327,973"
2017,Wind,"6,925,155"
2017,Wood and Wood Derived Fuels,"1,570,604"
2018,Total,"116,756,729"
2018,Coal,"5,382,866"
2018,Pumped Storage,"28,237"
2018,Hydroelectric Conventional,"80,883,377"
2018,Natural Gas,"10,535,078"
2018,Nuclear,"9,708,441"
2018,Other Gases,"430,840"
2018,Other,"59,265"
2018,Petroleum,"23,656"
2018,Solar Thermal and Photovoltaic,"1,695"
2018,Other Biomass,"231,707"
2018,Wind,"7,900,094"
2018,Wood and Wood Derived Fuels,"1,571,472"
2019,Total,"106,463,608"
2019,Coal,"7,170,102"
2019,Pumped Storage,"8,538"
2019,Hydroelectric Conventional,"66,018,323"
2019,Natural Gas,"15,728,673"
2019,Nuclear,"8,866,499"
2019,Other Gases,"322,190"
2019,Other,"66,195"
2019,Petroleum,"19,860"
2019,Solar Thermal and Photovoltaic,"43,728"
2019,Other Biomass,"111,333"
2019,Wind,"6,677,261"
2019,Wood and Wood Derived Fuels,"1,430,907"
