hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,6,180.93,177.15
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,7,179.62,176.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,8,178.43,175.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,9,174.49,172.25
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,10,173.55,172.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,11,169.79,168.99
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,12,168.21,169.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,1,170.43,172.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,2,169.82,171.38
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,3,169.06,170.07
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,4,169.16,168.47
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,5,172.97,169.61
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,6,172.20,168.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,7,170.84,167.14
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,8,170.31,166.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,9,169.59,167.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,10,167.99,166.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,11,168.87,167.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,12,164.43,165.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,1,163.14,165.32
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,2,162.75,164.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,3,163.45,164.75
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,4,165.44,164.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,5,168.35,164.94
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,6,167.15,163.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,7,166.24,162.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,8,166.43,162.75
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,9,163.43,160.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,10,164.66,163.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,11,163.27,162.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,12,158.95,160.02
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,1,157.18,159.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,2,155.98,158.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,3,153.54,154.97
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,4,155.92,155.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,5,159.31,156.03
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,6,161.00,156.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,7,162.61,158.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,8,160.18,156.43
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,9,159.80,157.14
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,10,157.41,155.86
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,11,159.44,158.20
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,12,156.30,157.46
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,1,154.11,156.69
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,2,154.23,156.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,3,156.31,157.76
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,4,159.25,158.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,5,163.04,159.72
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,6,164.37,159.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,7,164.50,159.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,8,164.77,160.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,9,163.98,161.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,10,163.31,161.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,11,162.02,160.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,12,160.26,161.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,1,160.18,163.08
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,2,160.91,163.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,3,163.84,165.11
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,4,167.23,166.18
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,5,170.22,166.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,6,172.50,167.61
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,7,173.74,168.75
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,8,173.30,169.09
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,9,172.66,169.66
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,10,171.22,169.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,11,170.78,169.84
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,12,169.87,171.32
